Series,Experiment,Source,Target,Complete,Parent,Source 1,Target 1,Source 2,Target 2,Best steps,Best BLEU ALL,Best CHRF3 ALL,Best WER ALL,Best TER ALL,Best spBLEU ALL,Last steps,Last BLEU ALL,Last CHRF3 ALL,Last WER ALL,Last TER ALL,Last spBLEU ALL
Niger-Congo,Overall.Run5.NMT.1-1,swh,cwe,True,SILTransformerBase,swh-swhonen,cwe-cwe,,,20000,17.83,46.55,54.46,77.32,25.52,21000,16.48,45.71,54.68,77.26,24.51
Niger-Congo,PartialNT.Scenario1,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,,,6000,15.38,46.93,54.03,79.31,21.96,10000,15.53,46.72,53.58,78.55,22.28
Niger-Congo,PartialNT.Scenario2,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,,,6000,16.48,48.92,54.07,76.81,24.71,10000,17.34,49.65,53.01,75.53,25.76
Niger-Congo,PartialNT.Scenario3,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,,,13000,21.96,54.95,49.35,70.65,31.14,17000,21.47,55.21,50.21,71.71,30.72
Niger-Congo,RelatedLanguage.PartialNT.Scenario1.All,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,17000,12.63,43.27,55.51,82.62,17.75,21000,12.56,43.59,55.85,83.14,17.69
Niger-Congo,RelatedLanguage.PartialNT.Scenario1.PeekAhead,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,13000,15.08,45.54,53.29,78.80,21.36,17000,15.17,45.70,53.25,78.76,21.53
Niger-Congo,RelatedLanguage.PartialNT.Scenario1.Same,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,6000,14.95,46.20,54.57,80.55,21.27,10000,15.41,46.46,53.68,78.94,21.95
Niger-Congo,RelatedLanguage.PartialNT.Scenario2.All,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,13000,17.72,50.83,53.19,76.16,25.45,20000,17.93,51.44,52.43,75.36,25.85
Niger-Congo,RelatedLanguage.PartialNT.Scenario2.PeekAhead,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,10000,16.50,49.74,55.53,78.74,24.38,14000,16.54,50.12,55.54,78.85,24.47
Niger-Congo,RelatedLanguage.PartialNT.Scenario2.Same,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,8000,16.36,48.55,54.89,77.73,24.09,12000,16.56,48.50,53.94,76.67,24.53
Niger-Congo,RelatedLanguage.PartialNT.Scenario3.All,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,12000,22.14,56.02,47.27,69.95,30.75,16000,22.83,56.40,46.71,69.01,31.60
Niger-Congo,RelatedLanguage.PartialNT.Scenario3.PeekAhead,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,10000,22.90,56.61,46.86,69.31,31.53,14000,23.18,57.02,46.14,68.38,31.97
Niger-Congo,RelatedLanguage.PartialNT.Scenario3.Same,swh,cwe,True,facebook/nllb-200-distilled-600M,swh-swhonen,cwe-cwe,swh-swhonen,vid-vid,16000,21.18,54.31,50.36,71.70,30.07,20000,20.86,54.38,50.57,72.44,29.98
Niger-Congo,SourceText.Greek.Scenario1,grc,cwe,True,facebook/nllb-200-distilled-600M,grc-grcsbl,cwe-cwe,,,10000,11.30,40.29,62.12,86.34,16.58,14000,11.08,39.70,61.65,85.74,16.47
Niger-Congo,SourceText.Greek.Scenario2,grc,cwe,True,facebook/nllb-200-distilled-600M,grc-grcsbl,cwe-cwe,,,13000,13.54,44.51,59.21,82.01,20.64,17000,13.70,44.49,59.00,81.67,20.79
Niger-Congo,SourceText.Greek.Scenario3,grc,cwe,True,facebook/nllb-200-distilled-600M,grc-grcsbl,cwe-cwe,,,11000,18.03,51.01,54.65,77.50,26.00,15000,18.22,51.57,54.64,77.32,26.20
Otomanguean,NewToOld.Scenario1,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,7000,16.24,45.94,61.70,82.79,30.98,10000,15.07,47.02,67.44,89.44,28.98
Otomanguean,Overall.Run1,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,14000,29.38,58.66,51.00,68.16,45.75,16000,29.05,58.88,51.59,68.94,45.36
Otomanguean,Overall.Run2,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,10000,27.88,56.98,50.93,68.14,44.45,14000,27.20,56.64,52.06,69.87,43.27
Otomanguean,Overall.Run3,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,14000,28.80,56.09,50.47,67.79,44.34,18000,29.32,55.95,49.11,66.49,45.20
Otomanguean,Overall.Run4,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,6000,28.33,55.45,49.66,66.68,44.04,10000,27.72,56.56,50.96,69.07,43.68
Otomanguean,Overall.Run5,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,22000,27.11,56.43,50.90,68.63,43.75,26000,27.77,56.24,50.22,68.24,44.60
Otomanguean,PartialNT.Scenario1,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,15000,13.00,42.36,66.13,86.01,26.46,19000,12.93,42.90,67.03,87.08,26.37
Otomanguean,PartialNT.Scenario2,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,7000,15.59,47.11,63.70,81.87,30.87,11000,15.87,47.57,63.15,81.51,31.34
Otomanguean,PartialNT.Scenario3,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,,,13000,21.25,52.06,58.41,75.82,37.11,16000,21.04,52.47,59.39,77.21,36.71
Otomanguean,RelatedLanguage.PartialNT.Scenario1.PeekAhead,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,spa-sparvg,zad-zadNT,8000,11.24,41.83,71.38,92.25,23.36,12000,11.65,42.15,69.99,90.83,24.19
Otomanguean,RelatedLanguage.PartialNT.Scenario2.PeekAhead,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,spa-sparvg,zad-zadNT,13000,15.07,47.48,65.40,84.36,30.26,17000,15.57,48.07,65.38,83.94,30.61
Otomanguean,RelatedLanguage.PartialNT.Scenario3.PeekAhead,spa,zat,True,facebook/nllb-200-distilled-600M,spa-sparvg,zat-zatNTps,spa-sparvg,zad-zadNT,15000,21.61,52.85,58.95,77.14,37.21,19000,20.51,53.19,61.81,80.71,35.81
Otomanguean,SourceText.Greek.Scenario1,grc,zat,True,facebook/nllb-200-distilled-600M,grc-grcsbl,zat-zatNTps,,,10000,9.02,37.38,75.39,95.31,20.04,12000,9.06,37.02,74.41,94.59,20.22
Otomanguean,SourceText.Greek.Scenario2,grc,zat,True,facebook/nllb-200-distilled-600M,grc-grcsbl,zat-zatNTps,,,14000,12.27,43.04,69.31,88.15,26.11,18000,12.30,43.43,70.01,89.06,26.01
Otomanguean,SourceText.Greek.Scenario3,grc,zat,True,facebook/nllb-200-distilled-600M,grc-grcsbl,zat-zatNTps,,,6000,17.36,47.95,64.66,83.52,31.83,10000,17.24,49.27,66.63,85.84,31.44
Sino-Tibetan,Overall.Run1,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,15000,31.45,57.87,52.02,63.98,49.45,19000,30.55,58.45,53.48,65.85,48.19
Sino-Tibetan,Overall.Run1.NLLB-distilled-1.3B,npi,taj,True,facebook/nllb-200-distilled-1.3B,npi-npiulb,taj-taj,,,24000,33.09,59.89,52.10,62.30,51.02,28000,33.54,59.69,50.18,60.63,51.97
Sino-Tibetan,Overall.Run1.NMT.1-1,npi,taj,True,SILTransformerBase,npi-npiulb,taj-taj,,,4000,10.19,37.55,68.31,87.08,26.11,8000,10.78,38.82,67.13,85.13,27.97
Sino-Tibetan,Overall.Run2,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,14000,30.49,58.86,51.65,65.75,48.51,18000,30.90,58.44,50.62,64.16,48.92
Sino-Tibetan,Overall.Run2.NMT.1-1,npi,taj,True,SILTransformerBase,npi-npiulb,taj-taj,,,5000,8.92,37.06,66.88,86.83,26.46,8000,9.40,36.57,66.12,86.00,26.03
Sino-Tibetan,Overall.Run3,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,14000,34.19,59.86,48.81,60.94,52.02,17000,33.46,60.36,50.44,62.08,50.82
Sino-Tibetan,Overall.Run3.NMT.1-1,npi,taj,True,SILTransformerBase,npi-npiulb,taj-taj,,,5000,10.50,38.45,66.07,85.37,27.92,9000,10.29,37.93,63.98,83.48,26.93
Sino-Tibetan,Overall.Run4,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,15000,30.45,58.35,50.16,63.61,48.66,,,,,,
Sino-Tibetan,Overall.Run4.NMT.1-1,npi,taj,True,SILTransformerBase,npi-npiulb,taj-taj,,,10000,8.40,36.72,69.68,88.12,25.30,14000,8.10,35.89,68.29,87.23,24.40
Sino-Tibetan,Overall.Run5,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,11000,32.44,58.92,50.45,63.88,50.57,15000,32.20,58.89,51.55,64.42,50.12
Sino-Tibetan,Overall.Run5.NMT.1-1,npi,taj,True,SILTransformerBase,npi-npiulb,taj-taj,,,3000,10.69,37.35,66.50,85.20,26.51,7000,11.22,36.92,65.63,84.05,26.21
Sino-Tibetan,PartialNT.Scenario1,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,14000,18.48,46.32,61.65,79.91,35.28,18000,18.03,46.32,62.45,81.10,34.76
Sino-Tibetan,PartialNT.Scenario2,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,12000,18.51,48.20,61.92,77.92,36.81,16000,18.68,48.17,61.58,77.58,37.06
Sino-Tibetan,PartialNT.Scenario3,npi,taj,True,facebook/nllb-200-distilled-600M,npi-npiulb,taj-taj,,,15000,23.29,52.41,57.91,72.41,41.95,,,,,,
